ds,vmin,vmax,Rwindow,threshold,match_runtime_sec,rank_score,score_valid,score_corr,score_mae,valid_count,invalid_count,valid_ratio,mae,norm_mae,corr,nan_quality_count,core_frame_start,core_frame_end_exclusive,core_total_count,core_valid_count,core_valid_ratio,core_mae,core_norm_mae,core_corr
30,0.5,1.5,10,1.0,72.3662,0.8828668734988925,0.9887808526551982,0.7559733555055382,0.903507650678919,2644,30,0.9887808526551982,203.79184176612313,0.09649234932108103,0.7559733555055382,30,15,2659,2644,2644,1.0,203.79184176612313,0.09649234932108103,0.7559733555055382
30,0.5,1.5,30,1.0,72.271,0.8828668734988925,0.9887808526551982,0.7559733555055382,0.903507650678919,2644,30,0.9887808526551982,203.79184176612313,0.09649234932108103,0.7559733555055382,30,15,2659,2644,2644,1.0,203.79184176612313,0.09649234932108103,0.7559733555055382
30,0.5,1.5,50,1.0,72.2072,0.8828668734988925,0.9887808526551982,0.7559733555055382,0.903507650678919,2644,30,0.9887808526551982,203.79184176612313,0.09649234932108103,0.7559733555055382,30,15,2659,2644,2644,1.0,203.79184176612313,0.09649234932108103,0.7559733555055382
50,0.3,2.0,10,1.0,183.1766,0.8797384929491364,0.981301421091997,0.7575623604511255,0.9008527285152508,2624,50,0.981301421091997,209.39903737579036,0.09914727148474922,0.7575623604511255,50,25,2649,2624,2624,1.0,209.39903737579036,0.09914727148474922,0.7575623604511255
50,0.3,2.0,30,1.0,183.6108,0.8797384929491364,0.981301421091997,0.7575623604511255,0.9008527285152508,2624,50,0.981301421091997,209.39903737579036,0.09914727148474922,0.7575623604511255,50,25,2649,2624,2624,1.0,209.39903737579036,0.09914727148474922,0.7575623604511255
50,0.3,2.0,50,1.0,184.4511,0.8797384929491364,0.981301421091997,0.7575623604511255,0.9008527285152508,2624,50,0.981301421091997,209.39903737579036,0.09914727148474922,0.7575623604511255,50,25,2649,2624,2624,1.0,209.39903737579036,0.09914727148474922,0.7575623604511255
50,0.5,1.5,10,1.0,109.5214,0.8784487755301721,0.981301421091997,0.7474411894817561,0.9192444016404732,2624,50,0.981301421091997,170.55582373532064,0.08075559835952682,0.7474411894817561,50,25,2649,2624,2624,1.0,170.55582373532064,0.08075559835952682,0.7474411894817561
50,0.5,1.5,30,1.0,109.3555,0.8784487755301721,0.981301421091997,0.7474411894817561,0.9192444016404732,2624,50,0.981301421091997,170.55582373532064,0.08075559835952682,0.7474411894817561,50,25,2649,2624,2624,1.0,170.55582373532064,0.08075559835952682,0.7474411894817561
50,0.5,1.5,50,1.0,109.466,0.8784487755301721,0.981301421091997,0.7474411894817561,0.9192444016404732,2624,50,0.981301421091997,170.55582373532064,0.08075559835952682,0.7474411894817561,50,25,2649,2624,2624,1.0,170.55582373532064,0.08075559835952682,0.7474411894817561
50,0.8,1.2,10,1.0,74.28,0.8646996342638509,0.981301421091997,0.7189321413812894,0.90360758813291,2624,50,0.981301421091997,203.58077386329413,0.09639241186709002,0.7189321413812894,50,25,2649,2624,2624,1.0,203.58077386329413,0.09639241186709002,0.7189321413812894
50,0.8,1.2,30,1.0,74.1481,0.8646996342638509,0.981301421091997,0.7189321413812894,0.90360758813291,2624,50,0.981301421091997,203.58077386329413,0.09639241186709002,0.7189321413812894,50,25,2649,2624,2624,1.0,203.58077386329413,0.09639241186709002,0.7189321413812894
50,0.8,1.2,50,1.0,74.13,0.8646996342638509,0.981301421091997,0.7189321413812894,0.90360758813291,2624,50,0.981301421091997,203.58077386329413,0.09639241186709002,0.7189321413812894,50,25,2649,2624,2624,1.0,203.58077386329413,0.09639241186709002,0.7189321413812894
20,0.8,1.2,10,1.0,55.4459,0.8339702202088025,0.9925205684367988,0.6419782502626459,0.8702977620478981,2654,20,0.9925205684367988,273.9311265548392,0.1297022379521019,0.6419782502626459,20,10,2664,2654,2654,1.0,273.9311265548392,0.1297022379521019,0.6419782502626459
20,0.8,1.2,30,1.0,53.2305,0.8339702202088025,0.9925205684367988,0.6419782502626459,0.8702977620478981,2654,20,0.9925205684367988,273.9311265548392,0.1297022379521019,0.6419782502626459,20,10,2664,2654,2654,1.0,273.9311265548392,0.1297022379521019,0.6419782502626459
