ds,vmin,vmax,Rwindow,threshold,match_runtime_sec,rank_score,score_valid,score_corr,score_mae,valid_count,invalid_count,valid_ratio,mae,norm_mae,corr,nan_quality_count
10,0.8,1.2,10,1.0,68.9492,0.47255241005401577,0.6293236964377904,0.2533929969467985,0.586663652521938,1219,718,0.6293236964377904,872.966365873667,0.413336347478062,0.2533929969467985,718
10,0.8,1.2,30,1.0,40.4333,0.47255241005401577,0.6293236964377904,0.2533929969467985,0.586663652521938,1219,718,0.6293236964377904,872.966365873667,0.413336347478062,0.2533929969467985,718
10,0.8,1.2,50,1.0,40.3176,0.47255241005401577,0.6293236964377904,0.2533929969467985,0.586663652521938,1219,718,0.6293236964377904,872.966365873667,0.413336347478062,0.2533929969467985,718
10,0.5,1.5,10,1.0,41.9361,0.46359308363281393,0.6293236964377904,0.2345237434848961,0.5772528189456652,1219,718,0.6293236964377904,892.8420463867552,0.42274718105433484,0.2345237434848961,718
10,0.5,1.5,30,1.0,41.2444,0.46359308363281393,0.6293236964377904,0.2345237434848961,0.5772528189456652,1219,718,0.6293236964377904,892.8420463867552,0.42274718105433484,0.2345237434848961,718
10,0.5,1.5,50,1.0,41.5734,0.46359308363281393,0.6293236964377904,0.2345237434848961,0.5772528189456652,1219,718,0.6293236964377904,892.8420463867552,0.42274718105433484,0.2345237434848961,718
10,0.3,2.0,10,1.0,47.1845,0.4565435899657242,0.6293236964377904,0.21630804290977243,0.5788313960320635,1219,718,0.6293236964377904,889.508091580282,0.42116860396793654,0.21630804290977243,718
10,0.3,2.0,30,1.0,43.5472,0.4565435899657242,0.6293236964377904,0.21630804290977243,0.5788313960320635,1219,718,0.6293236964377904,889.508091580282,0.42116860396793654,0.21630804290977243,718
10,0.3,2.0,50,1.0,44.0363,0.4565435899657242,0.6293236964377904,0.21630804290977243,0.5788313960320635,1219,718,0.6293236964377904,889.508091580282,0.42116860396793654,0.21630804290977243,718
20,0.3,2.0,10,1.0,54.3084,0.4507586773686123,0.6251935983479607,0.20843122072656742,0.5736604654760199,1211,726,0.6251935983479607,900.4290969146459,0.4263395345239801,0.20843122072656742,726
20,0.3,2.0,30,1.0,54.3326,0.4507586773686123,0.6251935983479607,0.20843122072656742,0.5736604654760199,1211,726,0.6251935983479607,900.4290969146459,0.4263395345239801,0.20843122072656742,726
20,0.3,2.0,50,1.0,54.3494,0.4507586773686123,0.6251935983479607,0.20843122072656742,0.5736604654760199,1211,726,0.6251935983479607,900.4290969146459,0.4263395345239801,0.20843122072656742,726
20,0.8,1.2,10,1.0,43.6278,0.44864222243850116,0.6251935983479607,0.2027525000998038,0.5746940209466483,1211,726,0.6251935983479607,898.2462277606787,0.42530597905335166,0.2027525000998038,726
20,0.8,1.2,30,1.0,43.5855,0.44864222243850116,0.6251935983479607,0.2027525000998038,0.5746940209466483,1211,726,0.6251935983479607,898.2462277606787,0.42530597905335166,0.2027525000998038,726
20,0.8,1.2,50,1.0,43.6648,0.44864222243850116,0.6251935983479607,0.2027525000998038,0.5746940209466483,1211,726,0.6251935983479607,898.2462277606787,0.42530597905335166,0.2027525000998038,726
30,0.8,1.2,10,1.0,46.7987,0.4428725845347843,0.6215797625193599,0.19310911759482544,0.5727869624209476,1204,733,0.6215797625193599,902.2739353669588,0.42721303757905243,0.19310911759482544,733
30,0.8,1.2,30,1.0,46.9131,0.4428725845347843,0.6215797625193599,0.19310911759482544,0.5727869624209476,1204,733,0.6215797625193599,902.2739353669588,0.42721303757905243,0.19310911759482544,733
30,0.8,1.2,50,1.0,46.7924,0.4428725845347843,0.6215797625193599,0.19310911759482544,0.5727869624209476,1204,733,0.6215797625193599,902.2739353669588,0.42721303757905243,0.19310911759482544,733
30,0.5,1.5,10,1.0,57.1956,0.442166851960973,0.6215797625193599,0.19440092457460492,0.5646372599827938,1204,733,0.6215797625193599,919.4861069163395,0.4353627400172062,0.19440092457460492,733
30,0.5,1.5,30,1.0,56.8059,0.442166851960973,0.6215797625193599,0.19440092457460492,0.5646372599827938,1204,733,0.6215797625193599,919.4861069163395,0.4353627400172062,0.19440092457460492,733
30,0.5,1.5,50,1.0,57.256,0.442166851960973,0.6215797625193599,0.19440092457460492,0.5646372599827938,1204,733,0.6215797625193599,919.4861069163395,0.4353627400172062,0.19440092457460492,733
20,0.5,1.5,10,1.0,47.7262,0.4416316934873512,0.6251935983479607,0.1883735226097002,0.5663011012459254,1211,726,0.6251935983479607,915.9720741686058,0.4336988987540747,0.1883735226097002,726
20,0.5,1.5,30,1.0,47.7757,0.4416316934873512,0.6251935983479607,0.1883735226097002,0.5663011012459254,1211,726,0.6251935983479607,915.9720741686058,0.4336988987540747,0.1883735226097002,726
20,0.5,1.5,50,1.0,47.8115,0.4416316934873512,0.6251935983479607,0.1883735226097002,0.5663011012459254,1211,726,0.6251935983479607,915.9720741686058,0.4336988987540747,0.1883735226097002,726
50,0.3,2.0,10,1.0,137.244,0.4328266053890395,0.614352090862158,0.17561982885545596,0.5741348863925735,1190,747,0.614352090862158,899.4271199388849,0.4258651136074265,0.17561982885545596,747
50,0.3,2.0,30,1.0,137.1454,0.4328266053890395,0.614352090862158,0.17561982885545596,0.5741348863925735,1190,747,0.614352090862158,899.4271199388849,0.4258651136074265,0.17561982885545596,747
50,0.3,2.0,50,1.0,137.2845,0.4328266053890395,0.614352090862158,0.17561982885545596,0.5741348863925735,1190,747,0.614352090862158,899.4271199388849,0.4258651136074265,0.17561982885545596,747
50,0.8,1.2,10,1.0,58.7359,0.4290772152829498,0.614352090862158,0.16310586314818695,0.5825095275713591,1190,747,0.614352090862158,881.7398777692896,0.4174904724286409,0.16310586314818695,747
50,0.8,1.2,30,1.0,58.8867,0.4290772152829498,0.614352090862158,0.16310586314818695,0.5825095275713591,1190,747,0.614352090862158,881.7398777692896,0.4174904724286409,0.16310586314818695,747
50,0.8,1.2,50,1.0,58.8,0.4290772152829498,0.614352090862158,0.16310586314818695,0.5825095275713591,1190,747,0.614352090862158,881.7398777692896,0.4174904724286409,0.16310586314818695,747
30,0.3,2.0,10,1.0,69.178,0.42902216057783626,0.6215797625193599,0.1592749847071369,0.5706751570751305,1204,733,0.6215797625193599,906.7340682573242,0.42932484292486944,0.1592749847071369,733
30,0.3,2.0,30,1.0,68.2281,0.42902216057783626,0.6215797625193599,0.1592749847071369,0.5706751570751305,1204,733,0.6215797625193599,906.7340682573242,0.42932484292486944,0.1592749847071369,733
30,0.3,2.0,50,1.0,68.4608,0.42902216057783626,0.6215797625193599,0.1592749847071369,0.5706751570751305,1204,733,0.6215797625193599,906.7340682573242,0.42932484292486944,0.1592749847071369,733
50,0.5,1.5,10,1.0,84.5005,0.41471061651377283,0.614352090862158,0.13511959087192157,0.5613622618468874,1190,747,0.614352090862158,926.4029029793736,0.4386377381531125,0.13511959087192157,747
50,0.5,1.5,30,1.0,84.7599,0.41471061651377283,0.614352090862158,0.13511959087192157,0.5613622618468874,1190,747,0.614352090862158,926.4029029793736,0.4386377381531125,0.13511959087192157,747
50,0.5,1.5,50,1.0,84.9061,0.41471061651377283,0.614352090862158,0.13511959087192157,0.5613622618468874,1190,747,0.614352090862158,926.4029029793736,0.4386377381531125,0.13511959087192157,747
10,0.8,1.2,30,0.9,40.4333,0.20832013471351668,0.017036654620547237,0.27092714049971306,0.6152185595625679,33,1904,0.017036654620547237,812.6584022038568,0.3847814404374322,0.27092714049971306,718
10,0.8,1.2,50,0.9,40.3176,0.2054457149362123,0.017552916881775942,0.26490678930137673,0.6105612441257495,34,1903,0.017552916881775942,822.4946524064171,0.38943875587425053,0.26490678930137673,718
10,0.5,1.5,30,0.9,41.2444,0.16986102744971227,0.0123902942694889,0.20931294091132605,0.5370681244260789,24,1913,0.0123902942694889,977.7121212121214,0.4629318755739211,0.20931294091132605,718
10,0.5,1.5,50,0.9,41.5734,0.16829871006986405,0.012906556530717605,0.1992505302759499,0.5519369834710743,25,1912,0.012906556530717605,946.3090909090911,0.4480630165289257,0.1992505302759499,718
10,0.3,2.0,10,0.9,47.1845,0.1602497520148461,0.005162622612287042,0.24746848280077172,0.3929278581267217,10,1927,0.005162622612287042,1282.1363636363637,0.6070721418732783,0.24746848280077172,718
10,0.8,1.2,10,0.9,68.9492,0.15615076560620958,0.013422818791946308,0.12619444753923786,0.6642181208942572,26,1911,0.013422818791946308,709.1713286713286,0.33578187910574275,0.12619444753923786,718
10,0.3,2.0,30,0.9,43.5472,0.15389178630376155,0.011357769747031492,0.2025979881298312,0.45161063110443267,22,1915,0.011357769747031492,1158.1983471074382,0.5483893688955673,0.2025979881298312,718
10,0.3,2.0,50,0.9,44.0363,0.15389178630376155,0.011357769747031492,0.2025979881298312,0.45161063110443267,22,1915,0.011357769747031492,1158.1983471074382,0.5483893688955673,0.2025979881298312,718
20,0.8,1.2,10,0.9,43.6278,0.10450659487705703,0.0005162622612287042,0.0,0.6951618457300275,1,1936,0.0005162622612287042,643.818181818182,0.3048381542699725,0.0,726
20,0.8,1.2,30,0.9,43.5855,0.10450659487705703,0.0005162622612287042,0.0,0.6951618457300275,1,1936,0.0005162622612287042,643.818181818182,0.3048381542699725,0.0,726
20,0.8,1.2,50,0.9,43.6648,0.10450659487705703,0.0005162622612287042,0.0,0.6951618457300275,1,1936,0.0005162622612287042,643.818181818182,0.3048381542699725,0.0,726
10,0.5,1.5,10,0.9,41.9361,0.1034114368892896,0.007227671657201859,0.04428166689222487,0.5496421192443921,14,1923,0.007227671657201859,951.155844155844,0.45035788075560795,0.04428166689222487,718
